0	2.238111e-02 2.317170e-01 4.448729e-01 5.366502e-01 3.767661e-01 2.648134e-01
1	2.869682e-02 3.927479e-01 2.299835e-01 4.259820e-01 4.012541e-01 2.984022e-01
4	1.000000e-05 1.589234e-01 2.991179e-01 2.422863e-01 2.592753e-01 1.463949e-01
5	1.000000e-05 6.506155e-03 3.769749e-03 2.157732e-04 4.287267e-03 1.401121e-02
6	2.684899e-02 5.228531e-01 1.005673e+00 1.091197e+00 2.206493e-01 4.510871e-01
17	9.948602e-02 4.474390e-01 2.391834e-01 5.607760e-01 3.917022e-01 3.098562e-01
18	6.542357e-02 5.496365e-01 2.753025e-01 4.371902e-01 4.173272e-01 3.565203e-01
21	1.000000e-05 1.500419e-04 6.759224e-03 1.584646e-04 3.024498e-04 2.361661e-02
22	1.763187e-02 1.880081e-01 3.379326e-01 1.512949e-01 3.143840e-01 1.898814e-01
25	2.145428e-02 5.748560e-01 1.604102e+00 1.190058e+00 3.950870e-02 3.269149e-01
68	1.000000e-05 8.019926e-05 1.157222e-04 1.004835e-04 9.380765e-05 3.463614e-02
70	4.237602e-02 2.282350e-01 9.332609e-01 9.675248e-01 1.586949e-01 3.777352e-01
72	1.000000e-05 4.961764e-01 5.765993e-01 7.358361e-01 6.585848e-01 5.626554e-01
73	4.513782e-02 3.441788e-01 6.002435e-01 5.554142e-01 7.264759e-01 4.274644e-01
80	1.000000e-05 3.500597e-01 3.656225e-01 4.037782e-01 3.061174e-01 2.205407e-01
81	1.000000e-05 1.430976e-02 1.094302e-03 1.417424e-04 1.875820e-04 1.416815e-02
82	1.103301e-01 4.215605e-01 7.467080e-01 1.114562e+00 3.098525e-01 5.726451e-01
84	1.000000e-05 1.000000e-05 2.918768e-03 1.000000e-05 9.885651e-04 2.735828e-02
86	3.788399e-02 2.951171e-01 5.644718e-01 4.738230e-01 1.923623e-01 2.930987e-01
88	1.000000e-05 5.126744e-01 9.259229e-01 1.441254e+00 2.713989e-01 1.020883e+00
89	9.821578e-03 4.149830e-01 9.639256e-01 8.952617e-01 5.462263e-01 5.936480e-01
90	6.304930e-02 6.358434e-01 1.060292e+00 1.378108e+00 4.537398e-01 7.098972e-01
96	2.394326e-02 3.668401e-01 5.788016e-01 3.972454e-01 4.727100e-01 1.660426e-01
97	4.870544e-02 2.036919e-02 3.875097e-05 9.704928e-03 1.593491e-02 1.000000e-05
98	3.979129e-02 5.815727e-01 1.205378e+00 5.889628e-01 2.278760e-01 7.352884e-01
100	3.580538e-02 3.310257e-01 6.149716e-01 3.809401e-01 3.662087e-01 1.475113e-01
102	2.053001e-01 2.651241e-01 8.614434e-01 9.646700e-01 4.500677e-01 8.388552e-01
104	2.639162e-02 5.165609e-01 2.181220e-01 1.919954e-01 2.731369e-01 5.044274e-02
